,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
141,Iceland,2015,7.498070717,10.67007351,0.980283201,73.0,0.94048512,0.298925996,0.638661802,0.849020839,0.179504439,0.42722812299999996,1.342286825,1.5931270119999998,40.0,308554.0,0.00012963695171671732,12.963695171671732,1.148
142,Iceland,2016,7.510034561,10.7283411,0.984940052,73.0,0.9516095520000001,0.278244555,0.719299555,0.873887897,0.158169165,0.36351829799999996,1.358806014,1.532976985,40.0,313780.0,0.0001274778507234368,12.74778507234368,1.192
143,Iran,2013,5.139579296,9.704015732,0.66370672,64.62000275,0.730214715,0.185000196,0.685038149,0.659087777,0.551839709,0.687470555,-1.429029226,-0.9633100029999999,2442.0,70575720.0,3.4601134781196704e-05,3.4601134781196703,2.4730000000000003
144,Iran,2014,4.682224274,9.736499786,0.644063771,64.86000061,0.7668229940000001,0.21000179600000002,0.639682412,0.618345201,0.5115690829999999,0.744599879,-1.2278656959999998,-0.8901181220000001,2485.0,71510966.0,3.4749915138889326e-05,3.4749915138889325,2.437
145,Iran,2015,4.749955654,9.711170197000001,0.572406888,65.09999847,0.780383229,0.14568181300000002,0.6989512440000001,0.644848764,0.519858181,0.753276825,-1.2196063999999998,-0.762112558,2372.0,72460999.0,3.2734850923046206e-05,3.273485092304621,2.4090000000000003
146,Ireland,2011,7.006904125,10.71768761,0.977377594,71.59999847,0.952034354,0.379793316,0.589912653,0.86522454,0.19030945,0.529104173,1.127179742,1.5939091440000002,554.0,4218849.0,0.00013131543698293065,13.131543698293065,1.37
147,Ireland,2012,6.964645386,10.71382141,0.9617859129999999,71.69999695,0.90219456,0.29874143,0.572632253,0.835201979,0.23666156800000002,0.34587270000000003,1.131797075,1.579027534,542.0,4220806.0,0.00012841149297077384,12.841149297077383,1.328
148,Ireland,2013,6.760085106,10.72481155,0.955188334,71.80000305,0.883772016,0.327679008,0.558394194,0.814344585,0.245267823,0.28501555300000003,1.1064054970000001,1.584632158,487.0,4227378.0,0.0001152014321879898,11.52014321879898,1.37
149,Ireland,2014,7.018379211,10.7974987,0.9677446479999999,71.90000153,0.921629548,0.259822041,0.406036258,0.7843348379999999,0.22872304899999998,0.459882379,1.185246229,1.6865000719999999,486.0,4328043.0,0.00011229093611130942,11.229093611130942,1.384
150,Israel,2011,7.433147907,10.32739449,0.8926965590000001,72.45999908,0.722269237,0.13853652800000002,0.891295373,0.7379072309999999,0.38447502299999997,0.271090537,-0.27400425100000003,1.119241357,409.0,6971495.0,5.866747376280123e-05,5.866747376280124,2.901
